Entity,Year,Total number of emigrants
Afghanistan,1990,7679582
Afghanistan,1995,4347049
Afghanistan,2000,4750677
Afghanistan,2005,4116739
Afghanistan,2010,5269518
Afghanistan,2015,5400916
Afghanistan,2020,5853838
Africa,1990,20621464
Africa,1995,22341394
Africa,2000,22080003
Africa,2005,25241406
Africa,2010,29193852
Africa,2015,35111959
Africa,2020,40567163
Albania,1990,180204
Albania,1995,501066
Albania,2000,824442
Albania,2005,966032
Albania,2010,1117940
Albania,2015,1142844
Albania,2020,1250451
Algeria,1990,921665
Algeria,1995,979641
Algeria,2000,1037985
Algeria,2005,1599647
Algeria,2010,1655264
Algeria,2015,1836502
Algeria,2020,2022337
American Samoa,1990,2041
American Samoa,1995,2638
American Samoa,2000,3186
American Samoa,2005,2588
American Samoa,2010,2157
American Samoa,2015,1961
American Samoa,2020,1832
Andorra,1990,3740
Andorra,1995,4142
Andorra,2000,5575
Andorra,2005,5727
Andorra,2010,7909
Andorra,2015,8740
Andorra,2020,11132
Angola,1990,824886
Angola,1995,688581
Angola,2000,913206
Angola,2005,716766
Angola,2010,651383
Angola,2015,618288
Angola,2020,668066
Anguilla,1990,1832
Anguilla,1995,2166
Anguilla,2000,2508
Anguilla,2005,2425
Anguilla,2010,2273
Anguilla,2015,2553
Anguilla,2020,2505
Antigua and Barbuda,1990,21382
Antigua and Barbuda,1995,26965
Antigua and Barbuda,2000,32782
Antigua and Barbuda,2005,36398
Antigua and Barbuda,2010,41347
Antigua and Barbuda,2015,52189
Antigua and Barbuda,2020,66561
Argentina,1990,430155
Argentina,1995,481968
Argentina,2000,555542
Argentina,2005,805291
Argentina,2010,938639
Argentina,2015,943843
Argentina,2020,1076148
Armenia,1990,899678
Armenia,1995,901859
Armenia,2000,877148
Armenia,2005,900648
Armenia,2010,917043
Armenia,2015,944520
Armenia,2020,958190
Aruba,1990,5887
Aruba,1995,6705
Aruba,2000,7662
Aruba,2005,9482
Aruba,2010,13524
Aruba,2015,16621
Aruba,2020,21456
Asia,1990,56957000
Asia,1995,59147922
Asia,2000,65333613
Asia,2005,72806043
Asia,2010,88122177
Asia,2015,103378019
Asia,2020,114911484
Australia,1990,301013
Australia,1995,341312
Australia,2000,381836
Australia,2005,428769
Australia,2010,486949
Australia,2015,518158
Australia,2020,598765
Australia and New Zealand,1990,689030
Australia and New Zealand,1995,758234
Australia and New Zealand,2000,871660
Australia and New Zealand,2005,984280
Australia and New Zealand,2010,1149265
Australia and New Zealand,2015,1256202
Australia and New Zealand,2020,1404924
Austria,1990,505214
Austria,1995,490045
Austria,2000,478091
Austria,2005,493349
Austria,2010,517401
Austria,2015,515234
Austria,2020,600740
Azerbaijan,1990,1634157
Azerbaijan,1995,1712214
Azerbaijan,2000,1630589
Azerbaijan,2005,1455180
Azerbaijan,2010,1160863
Azerbaijan,2015,1130348
Azerbaijan,2020,1163922
Bahamas,1990,25137
Bahamas,1995,29594
Bahamas,2000,34301
Bahamas,2005,34715
Bahamas,2010,35990
Bahamas,2015,42965
Bahamas,2020,53793
Bahrain,1990,12817
Bahrain,1995,26014
Bahrain,2000,47736
Bahrain,2005,51835
Bahrain,2010,52235
Bahrain,2015,56721
Bahrain,2020,58270
Bangladesh,1990,5450443
Bangladesh,1995,5423528
Bangladesh,2000,5441094
Bangladesh,2005,5492474
Bangladesh,2010,6319871
Bangladesh,2015,6831282
Bangladesh,2020,7401763
Barbados,1990,84766
Barbados,1995,89612
Barbados,2000,94998
Barbados,2005,92975
Barbados,2010,96193
Barbados,2015,101879
Barbados,2020,99611
Belarus,1990,1767600
Belarus,1995,1736493
Belarus,2000,1685646
Belarus,2005,1581160
Belarus,2010,1464702
Belarus,2015,1469882
Belarus,2020,1483626
Belgium,1990,363970
Belgium,1995,374734
Belgium,2000,398864
Belgium,2005,437701
Belgium,2010,484032
Belgium,2015,515793
Belgium,2020,577463
Belize,1990,36101
Belize,1995,41950
Belize,2000,48211
Belize,2005,51883
Belize,2010,57371
Belize,2015,63099
Belize,2020,52756
Benin,1990,234314
Benin,1995,275696
Benin,2000,328046
Benin,2005,504165
Benin,2010,541152
Benin,2015,634923
Benin,2020,681827
Bermuda,1990,71681
Bermuda,1995,42587
Bermuda,2000,14079
Bermuda,2005,14907
Bermuda,2010,15313
Bermuda,2015,16225
Bermuda,2020,21107
Bhutan,1990,28461
Bhutan,1995,117967
Bhutan,2000,120183
Bhutan,2005,120319
Bhutan,2010,91934
Bhutan,2015,51391
Bhutan,2020,51998
Bolivia,1990,224693
Bolivia,1995,283540
Bolivia,2000,344702
Bolivia,2005,543766
Bolivia,2010,779961
Bolivia,2015,824008
Bolivia,2020,927244
Bonaire Sint Eustatius and Saba,1990,445
Bonaire Sint Eustatius and Saba,1995,540
Bonaire Sint Eustatius and Saba,2000,647
Bonaire Sint Eustatius and Saba,2005,753
Bonaire Sint Eustatius and Saba,2010,7065
Bonaire Sint Eustatius and Saba,2015,7295
Bonaire Sint Eustatius and Saba,2020,8148
Bosnia and Herzegovina,1990,861760
Bosnia and Herzegovina,1995,1372526
Bosnia and Herzegovina,2000,1496691
Bosnia and Herzegovina,2005,1501036
Bosnia and Herzegovina,2010,1572925
Bosnia and Herzegovina,2015,1593430
Bosnia and Herzegovina,2020,1687639
Botswana,1990,26048
Botswana,1995,23315
Botswana,2000,26683
Botswana,2005,33281
Botswana,2010,44249
Botswana,2015,55294
Botswana,2020,63561
Brazil,1990,491359
Brazil,1995,730491
Brazil,2000,940458
Brazil,2005,1194575
Brazil,2010,1495404
Brazil,2015,1504231
Brazil,2020,1897128
British Virgin Islands,1990,3094
British Virgin Islands,1995,3368
British Virgin Islands,2000,3683
British Virgin Islands,2005,4008
British Virgin Islands,2010,4921
British Virgin Islands,2015,5118
British Virgin Islands,2020,5355
Brunei,1990,26323
Brunei,1995,35052
Brunei,2000,45242
Brunei,2005,45314
Brunei,2010,44541
Brunei,2015,45110
Brunei,2020,45340
Bulgaria,1990,612960
Bulgaria,1995,649430
Bulgaria,2000,688682
Bulgaria,2005,907821
Bulgaria,2010,1106483
Bulgaria,2015,1179625
Bulgaria,2020,1683074
Burkina Faso,1990,1021331
Burkina Faso,1995,1215665
Burkina Faso,2000,1279414
Burkina Faso,2005,1352292
Burkina Faso,2010,1434528
Burkina Faso,2015,1518568
Burkina Faso,2020,1599347
Burundi,1990,337100
Burundi,1995,540558
Burundi,2000,758673
Burundi,2005,619916
Burundi,2010,284078
Burundi,2015,459979
Burundi,2020,551105
Cambodia,1990,355428
Cambodia,1995,418213
Cambodia,2000,459621
Cambodia,2005,674436
Cambodia,2010,953059
Cambodia,2015,1074572
Cambodia,2020,1104819
Cameroon,1990,115835
Cameroon,1995,138936
Cameroon,2000,164296
Cameroon,2005,221232
Cameroon,2010,278898
Cameroon,2015,348974
Cameroon,2020,441015
Canada,1990,994254
Canada,1995,1064305
Canada,2000,1142641
Canada,2005,1185156
Canada,2010,1268057
Canada,2015,1263552
Canada,2020,1292329
Cape Verde,1990,91363
Cape Verde,1995,106954
Cape Verde,2000,124823
Cape Verde,2005,141984
Cape Verde,2010,152863
Cape Verde,2015,171429
Cape Verde,2020,187558
Caribbean,1990,4139775
Caribbean,1995,5035853
Caribbean,2000,5966487
Caribbean,2005,6506671
Caribbean,2010,7273502
Caribbean,2015,8135307
Caribbean,2020,9078772
Cayman Islands,1990,356
Cayman Islands,1995,794
Cayman Islands,2000,1278
Cayman Islands,2005,1290
Cayman Islands,2010,1404
Cayman Islands,2015,1709
Cayman Islands,2020,1908
Central African Republic,1990,46354
Central African Republic,1995,49205
Central African Republic,2000,55416
Central African Republic,2005,131410
Central African Republic,2010,245933
Central African Republic,2015,686224
Central African Republic,2020,816668
Central America,1990,6823036
Central America,1995,9288464
Central America,2000,12228703
Central America,2005,13978650
Central America,2010,16204451
Central America,2015,16291222
Central America,2020,16198974
Central Asia,1990,5719892
Central Asia,1995,6159859
Central Asia,2000,6462345
Central Asia,2005,6918899
Central Asia,2010,7232295
Central Asia,2015,7428032
Central Asia,2020,7835504
Central and Southern Asia,1990,31104020
Central and Southern Asia,1995,29069983
Central and Southern Asia,2000,30897694
Central and Southern Asia,2005,33347690
Central and Southern Asia,2010,41082388
Central and Southern Asia,2015,46481130
Central and Southern Asia,2020,51229549
Chad,1990,336798
Chad,1995,223096
Chad,2000,206052
Chad,2005,210661
Chad,2010,202423
Chad,2015,191269
Chad,2020,222303
Channel Islands,1990,18726
Channel Islands,1995,15626
Channel Islands,2000,12825
Channel Islands,2005,14815
Channel Islands,2010,15699
Channel Islands,2015,16469
Channel Islands,2020,17158
Chile,1990,493026
Chile,1995,499207
Chile,2000,511997
Chile,2005,541745
Chile,2010,571842
Chile,2015,618015
Chile,2020,643800
China,1990,4231625
China,1995,5030321
China,2000,5884919
China,2005,7337211
China,2010,8714648
China,2015,10240817
China,2020,10461170
Colombia,1990,1009148
Colombia,1995,1215967
Colombia,2000,1433940
Colombia,2005,1883904
Colombia,2010,2554020
Colombia,2015,2698688
Colombia,2020,3024273
Comoros,1990,40079
Comoros,1995,51290
Comoros,2000,70502
Comoros,2005,96143
Comoros,2010,109125
Comoros,2015,121749
Comoros,2020,150823
Congo,1990,96370
Congo,1995,115677
Congo,2000,135235
Congo,2005,172610
Congo,2010,178111
Congo,2015,204829
Congo,2020,223767
Cook Islands,1990,17485
Cook Islands,1995,17009
Cook Islands,2000,19478
Cook Islands,2005,19580
Cook Islands,2010,20556
Cook Islands,2015,21555
Cook Islands,2020,21106
Costa Rica,1990,69283
Costa Rica,1995,84980
Costa Rica,2000,105227
Costa Rica,2005,117618
Costa Rica,2010,132317
Costa Rica,2015,138237
Costa Rica,2020,150241
Cote d'Ivoire,1990,366336
Cote d'Ivoire,1995,449498
Cote d'Ivoire,2000,539234
Cote d'Ivoire,2005,731962
Cote d'Ivoire,2010,939795
Cote d'Ivoire,2015,1056380
Cote d'Ivoire,2020,1149298
Croatia,1990,425544
Croatia,1995,735213
Croatia,2000,907031
Croatia,2005,839084
Croatia,2010,820407
Croatia,2015,806242
Croatia,2020,1039526
Cuba,1990,835175
Cuba,1995,934168
Cuba,2000,1047789
Cuba,2005,1160309
Cuba,2010,1314739
Cuba,2015,1505827
Cuba,2020,1757300
Curacao,1990,2104
Curacao,1995,2849
Curacao,2000,3779
Curacao,2005,4618
Curacao,2010,45248
Curacao,2015,6239
Curacao,2020,7611
Cyprus,1990,174370
Cyprus,1995,163275
Cyprus,2000,153561
Cyprus,2005,153973
Cyprus,2010,163471
Cyprus,2015,166585
Cyprus,2020,173210
Czechia,1990,564746
Czechia,1995,620286
Czechia,2000,723333
Czechia,2005,752058
Czechia,2010,779438
Czechia,2015,819776
Czechia,2020,1026108
Democratic Republic of Congo,1990,436513
Democratic Republic of Congo,1995,559824
Democratic Republic of Congo,2000,862039
Democratic Republic of Congo,2005,1130872
Democratic Republic of Congo,2010,1298544
Democratic Republic of Congo,2015,1572222
Democratic Republic of Congo,2020,1832069
Denmark,1990,201514
Denmark,1995,207707
Denmark,2000,217761
Denmark,2005,224462
Denmark,2010,233531
Denmark,2015,236832
Denmark,2020,257025
Developed regions,1990,51826246
Developed regions,1995,52993691
Developed regions,2000,54458296
Developed regions,2005,56551836
Developed regions,2010,60587161
Developed regions,2015,62613012
Developed regions,2020,69815370
Djibouti,1990,5308
Djibouti,1995,6964
Djibouti,2000,9055
Djibouti,2005,11987
Djibouti,2010,13797
Djibouti,2015,16969
Djibouti,2020,18365
Dominica,1990,40563
Dominica,1995,44210
Dominica,2000,48275
Dominica,2005,64037
Dominica,2010,73583
Dominica,2015,72585
Dominica,2020,78191
Dominican Republic,1990,458021
Dominican Republic,1995,667015
Dominican Republic,2000,889451
Dominican Republic,2005,1014070
Dominican Republic,2010,1184417
Dominican Republic,2015,1454602
Dominican Republic,2020,1608567
East Timor,1990,11261
East Timor,1995,79050
East Timor,2000,148339
East Timor,2005,94961
East Timor,2010,35037
East Timor,2015,37325
East Timor,2020,39588
Eastern Africa,1990,7784743
Eastern Africa,1995,7734774
Eastern Africa,2000,6079992
Eastern Africa,2005,6192747
Eastern Africa,2010,7524192
Eastern Africa,2015,9824290
Eastern Africa,2020,12027289
Eastern Asia,1990,7049024
Eastern Asia,1995,8166675
Eastern Asia,2000,9352688
Eastern Asia,2005,11019974
Eastern Asia,2010,12863294
Eastern Asia,2015,14417725
Eastern Asia,2020,14820004
Eastern Europe,1990,24779673
Eastern Europe,1995,24168588
Eastern Europe,2000,23820659
Eastern Europe,2005,25554786
Eastern Europe,2010,27578142
Eastern Europe,2015,28822615
Eastern Europe,2020,32194352
Eastern and South-Eastern Asia,1990,14774419
Eastern and South-Eastern Asia,1995,17860923
Eastern and South-Eastern Asia,2000,21440854
Eastern and South-Eastern Asia,2005,25556983
Eastern and South-Eastern Asia,2010,30977206
Eastern and South-Eastern Asia,2015,35205590
Eastern and South-Eastern Asia,2020,38400740
Ecuador,1990,214008
Ecuador,1995,326230
Ecuador,2000,446380
Ecuador,2005,986599
Ecuador,2010,1152897
Ecuador,2015,1130774
Ecuador,2020,1127891
Egypt,1990,1321915
Egypt,1995,1492004
Egypt,2000,1708296
Egypt,2005,1807941
Egypt,2010,2586643
Egypt,2015,3151069
Egypt,2020,3610461
El Salvador,1990,1241849
El Salvador,1995,933103
El Salvador,2000,949042
El Salvador,2005,1118793
El Salvador,2010,1337085
El Salvador,2015,1512895
El Salvador,2020,1599058
Equatorial Guinea,1990,36175
Equatorial Guinea,1995,46412
Equatorial Guinea,2000,59930
Equatorial Guinea,2005,71789
Equatorial Guinea,2010,84390
Equatorial Guinea,2015,116947
Equatorial Guinea,2020,128774
Eritrea,1990,170603
Eritrea,1995,375257
Eritrea,2000,511506
Eritrea,2005,299311
Eritrea,2010,328366
Eritrea,2015,624757
Eritrea,2020,802822
Estonia,1990,113860
Estonia,1995,129586
Estonia,2000,141821
Estonia,2005,150101
Estonia,2010,153633
Estonia,2015,189109
Estonia,2020,206631
Eswatini,1990,35179
Eswatini,1995,30340
Eswatini,2000,34116
Eswatini,2005,44861
Eswatini,2010,69030
Eswatini,2015,46236
Eswatini,2020,50039
Ethiopia,1990,1689941
Ethiopia,1995,816420
Ethiopia,2000,445886
Ethiopia,2005,524038
Ethiopia,2010,680290
Ethiopia,2015,842496
Ethiopia,2020,946129
Europe,1990,47730278
Europe,1995,48636003
Europe,2000,49727784
Europe,2005,51336984
Europe,2010,54711301
Europe,2015,56577753
Europe,2020,63273663
Europe and Northern America,1990,50532413
Europe and Northern America,1995,51582164
Europe and Northern America,2000,52877703
Europe and Northern America,2005,54849090
Europe and Northern America,2010,58681104
Europe and Northern America,2015,60592402
Europe and Northern America,2020,67601621
Falkland Islands,1990,255
Falkland Islands,1995,760
Falkland Islands,2000,1262
Falkland Islands,2005,1095
Falkland Islands,2010,1174
Falkland Islands,2015,1370
Falkland Islands,2020,1518
Faroe Islands,1990,7518
Faroe Islands,1995,10003
Faroe Islands,2000,12410
Faroe Islands,2005,12484
Faroe Islands,2010,12364
Faroe Islands,2015,13407
Faroe Islands,2020,12927
Fiji,1990,90161
Fiji,1995,106488
Fiji,2000,131908
Fiji,2005,157045
Fiji,2010,183607
Fiji,2015,208568
Fiji,2020,233856
Finland,1990,250610
Finland,1995,288655
Finland,2000,315861
Finland,2005,300562
Finland,2010,291883
Finland,2015,282223
Finland,2020,311889
France,1990,1215837
France,1995,1353297
France,2000,1555391
France,2005,1725216
France,2010,1956818
France,2015,2119266
France,2020,2341908
French Guiana,1990,2840
French Guiana,1995,3221
French Guiana,2000,3640
French Guiana,2005,3800
French Guiana,2010,3940
French Guiana,2015,4517
French Guiana,2020,4595
French Polynesia,1990,3132
French Polynesia,1995,3738
French Polynesia,2000,4300
French Polynesia,2005,2717
French Polynesia,2010,1550
French Polynesia,2015,1978
French Polynesia,2020,2157
Gabon,1990,15347
Gabon,1995,16610
Gabon,2000,18041
Gabon,2005,41357
Gabon,2010,36933
Gabon,2015,43075
Gabon,2020,48392
Gambia,1990,36280
Gambia,1995,38384
Gambia,2000,45427
Gambia,2005,61209
Gambia,2010,77440
Gambia,2015,96963
Gambia,2020,139210
Georgia,1990,919438
Georgia,1995,953280
Georgia,2000,967022
Georgia,2005,885523
Georgia,2010,805539
Georgia,2015,828931
Georgia,2020,861077
Germany,1990,2929448
Germany,1995,3045354
Germany,2000,3235247
Germany,2005,3442933
Germany,2010,3696638
Germany,2015,3630278
Germany,2020,3855268
Ghana,1990,371157
Ghana,1995,428051
Ghana,2000,495887
Ghana,2005,665731
Ghana,2010,762002
Ghana,2015,892253
Ghana,2020,1004324
Gibraltar,1990,11989
Gibraltar,1995,10130
Gibraltar,2000,8451
Gibraltar,2005,9643
Gibraltar,2010,10197
Gibraltar,2015,11916
Gibraltar,2020,13389
Greece,1990,1022125
Greece,1995,1004201
Greece,2000,982685
Greece,2005,867619
Greece,2010,789457
Greece,2015,820119
Greece,2020,1088507
Greenland,1990,9504
Greenland,1995,11361
Greenland,2000,13388
Greenland,2005,14618
Greenland,2010,15391
Greenland,2015,16711
Greenland,2020,17866
Grenada,1990,43237
Grenada,1995,54075
Grenada,2000,63791
Grenada,2005,64646
Grenada,2010,63930
Grenada,2015,69055
Grenada,2020,62204
Guadeloupe,1990,5765
Guadeloupe,1995,6748
Guadeloupe,2000,7750
Guadeloupe,2005,8911
Guadeloupe,2010,10779
Guadeloupe,2015,11993
Guadeloupe,2020,12542
Guam,1990,1375
Guam,1995,1614
Guam,2000,2797
Guam,2005,2535
Guam,2010,2209
Guam,2015,2132
Guam,2020,2213
Guatemala,1990,348189
Guatemala,1995,461891
Guatemala,2000,582796
Guatemala,2005,736715
Guatemala,2010,924898
Guatemala,2015,1118115
Guatemala,2020,1368431
Guinea,1990,352763
Guinea,1995,365862
Guinea,2000,377019
Guinea,2005,404677
Guinea,2010,455866
Guinea,2015,493411
Guinea,2020,550790
Guinea-Bissau,1990,55406
Guinea-Bissau,1995,67149
Guinea-Bissau,2000,77664
Guinea-Bissau,2005,82846
Guinea-Bissau,2010,91546
Guinea-Bissau,2015,98151
Guinea-Bissau,2020,111790
Guyana,1990,233318
Guyana,1995,295292
Guyana,2000,362157
Guyana,2005,392555
Guyana,2010,439233
Guyana,2015,481258
Guyana,2020,438413
Haiti,1990,524711
Haiti,1995,661354
Haiti,2000,802218
Haiti,2005,967894
Haiti,2010,1123190
Haiti,2015,1467042
Haiti,2020,1769671
High-income countries,1990,34008977
High-income countries,1995,35677967
High-income countries,2000,38024485
High-income countries,2005,40882214
High-income countries,2010,45649196
High-income countries,2015,47356719
High-income countries,2020,52808019
Honduras,1990,156379
Honduras,1995,246575
Honduras,2000,342103
Honduras,2005,448882
Honduras,2010,587503
Honduras,2015,729855
Honduras,2020,985077
Hong Kong,1990,549125
Hong Kong,1995,617237
Hong Kong,2000,685913
Hong Kong,2005,752476
Hong Kong,2010,862070
Hong Kong,2015,957289
Hong Kong,2020,1007788
Hungary,1990,391583
Hungary,1995,404141
Hungary,2000,420959
Hungary,2005,466530
Hungary,2010,511199
Hungary,2015,600887
Hungary,2020,714420
Iceland,1990,17597
Iceland,1995,21433
Iceland,2000,26173
Iceland,2005,28669
Iceland,2010,32454
Iceland,2015,37006
Iceland,2020,43251
India,1990,6619431
India,1995,7153439
India,2000,7928051
India,2005,9588533
India,2010,13221963
India,2015,15885657
India,2020,17869492
Indonesia,1990,1622259
Indonesia,1995,1937233
Indonesia,2000,2415077
Indonesia,2005,2781287
Indonesia,2010,3415963
Indonesia,2015,4065095
Indonesia,2020,4601369
Iran,1990,631196
Iran,1995,746739
Iran,2000,831205
Iran,2005,889502
Iran,2010,985691
Iran,2015,1155617
Iran,2020,1325113
Iraq,1990,642933
Iraq,1995,752604
Iraq,2000,828414
Iraq,2005,1340599
Iraq,2010,2554929
Iraq,2015,1675613
Iraq,2020,2077976
Ireland,1990,917101
Ireland,1995,863541
Ireland,2000,820657
Ireland,2005,769942
Ireland,2010,729466
Ireland,2015,736639
Ireland,2020,734317
Isle of Man,1990,10735
Isle of Man,1995,9003
Isle of Man,2000,7377
Isle of Man,2005,8484
Isle of Man,2010,9033
Isle of Man,2015,10580
Isle of Man,2020,12032
Israel,1990,279625
Israel,1995,290365
Israel,2000,303860
Israel,2005,317009
Israel,2010,333968
Israel,2015,331326
Israel,2020,358691
Italy,1990,3350982
Italy,1995,3207728
Italy,2000,3067498
Italy,2005,2698486
Italy,2010,2559233
Italy,2015,2662661
Italy,2020,3258831
Jamaica,1990,588450
Jamaica,1995,718362
Jamaica,2000,857865
Jamaica,2005,905170
Jamaica,2010,989790
Jamaica,2015,1031596
Jamaica,2020,1118931
Japan,1990,604803
Japan,1995,653293
Japan,2000,708933
Japan,2005,718466
Japan,2010,756792
Japan,2015,764408
Japan,2020,808825
Jordan,1990,313621
Jordan,1995,339026
Jordan,2000,368299
Jordan,2005,440788
Jordan,2010,602099
Jordan,2015,706832
Jordan,2020,814909
Kazakhstan,1990,2971634
Kazakhstan,1995,3295157
Kazakhstan,2000,3554484
Kazakhstan,2005,3717649
Kazakhstan,2010,3797527
Kazakhstan,2015,3885576
Kazakhstan,2020,4203899
Kenya,1990,250332
Kenya,1995,277647
Kenya,2000,317434
Kenya,2005,362031
Kenya,2010,442632
Kenya,2015,480647
Kenya,2020,535348
Kiribati,1990,4053
Kiribati,1995,4246
Kiribati,2000,3991
Kiribati,2005,4021
Kiribati,2010,3565
Kiribati,2015,4127
Kiribati,2020,5103
Kuwait,1990,81583
Kuwait,1995,97009
Kuwait,2000,113415
Kuwait,2005,129005
Kuwait,2010,177816
Kuwait,2015,195034
Kuwait,2020,212271
Kyrgyzstan,1990,522574
Kyrgyzstan,1995,550022
Kyrgyzstan,2000,566315
Kyrgyzstan,2005,652852
Kyrgyzstan,2010,726544
Kyrgyzstan,2015,742841
Kyrgyzstan,2020,774377
Land-locked Developing Countries (LLDC),1990,25086015
Land-locked Developing Countries (LLDC),1995,23874777
Land-locked Developing Countries (LLDC),2000,23134479
Land-locked Developing Countries (LLDC),2005,24288062
Land-locked Developing Countries (LLDC),2010,27740905
Land-locked Developing Countries (LLDC),2015,31336289
Land-locked Developing Countries (LLDC),2020,35277768
Laos,1990,483008
Laos,1995,547786
Laos,2000,649287
Laos,2005,897002
Laos,2010,1198862
Laos,2015,1288179
Laos,2020,1296051
Latin America and the Caribbean,1990,15273399
Latin America and the Caribbean,1995,19669704
Latin America and the Caribbean,2000,24628700
Latin America and the Caribbean,2005,29338206
Latin America and the Caribbean,2010,34637650
Latin America and the Caribbean,2015,36206000
Latin America and the Caribbean,2020,42890481
Latvia,1990,215070
Latvia,1995,228958
Latvia,2000,238641
Latvia,2005,270982
Latvia,2010,278168
Latvia,2015,369238
Latvia,2020,380010
Least developed countries,1990,29823372
Least developed countries,1995,28117338
Least developed countries,2000,28062489
Least developed countries,2005,29949899
Least developed countries,2010,35497699
Least developed countries,2015,41482680
Least developed countries,2020,47604597
Lebanon,1990,507722
Lebanon,1995,531538
Lebanon,2000,558891
Lebanon,2005,608856
Lebanon,2010,699704
Lebanon,2015,757183
Lebanon,2020,856814
Lesotho,1990,191328
Lesotho,1995,136593
Lesotho,2000,120565
Lesotho,2005,159071
Lesotho,2010,243128
Lesotho,2015,191457
Lesotho,2020,202164
Less developed regions,1990,92519577
Less developed regions,1995,100818788
Less developed regions,2000,111708559
Less developed regions,2005,127074327
Less developed regions,2010,151638790
Less developed regions,2015,174426790
Less developed regions,2020,198125584
"Less developed regions, excluding China",1990,87652367
"Less developed regions, excluding China",1995,95081133
"Less developed regions, excluding China",2000,105043210
"Less developed regions, excluding China",2005,118876449
"Less developed regions, excluding China",2010,141938473
"Less developed regions, excluding China",2015,163095388
"Less developed regions, excluding China",2020,186511434
"Less developed regions, excluding least developed countries",1990,62696205
"Less developed regions, excluding least developed countries",1995,72701450
"Less developed regions, excluding least developed countries",2000,83646070
"Less developed regions, excluding least developed countries",2005,97124428
"Less developed regions, excluding least developed countries",2010,116141091
"Less developed regions, excluding least developed countries",2015,132944110
"Less developed regions, excluding least developed countries",2020,150520987
Liberia,1990,516878
Liberia,1995,542295
Liberia,2000,248412
Liberia,2005,354792
Liberia,2010,219139
Liberia,2015,205741
Liberia,2020,233564
Libya,1990,76239
Libya,1995,77398
Libya,2000,80014
Libya,2005,100248
Libya,2010,127399
Libya,2015,152544
Libya,2020,185518
Liechtenstein,1990,3425
Liechtenstein,1995,3018
Liechtenstein,2000,2688
Liechtenstein,2005,2935
Liechtenstein,2010,3590
Liechtenstein,2015,3536
Liechtenstein,2020,3706
Lithuania,1990,340973
Lithuania,1995,342389
Lithuania,2000,348564
Lithuania,2005,412371
Lithuania,2010,517746
Lithuania,2015,556292
Lithuania,2020,658057
Low-income countries,1990,21142448
Low-income countries,1995,18959483
Low-income countries,2000,18002895
Low-income countries,2005,18605623
Low-income countries,2010,21718616
Low-income countries,2015,31399947
